well_name,route,production_method,asset_type,date,check_type
asset 2,route 1,,ip_mp_fm,2022-10-01,"check, validate"
asset 3,route 1,,ip_pad,2022-10-01,"check, validate, calibrate"
asset 4,route 1,,tank_battery,2022-10-01,"check, validate, calibrate"
asset 5,route 1,,tank_battery,2022-10-01,"check, validate, calibrate"
asset 9,route 1,,tank_battery,2022-10-01,"check, validate, calibrate"
well 0,route 1,comp,well/pad,2022-10-01,"check, validate"
well 13,route 1,esp,well/pad,2022-10-01,"check, validate"
well 14,route 1,plunger,well/pad,2022-10-01,"check, validate"
well 15,route 1,esp,well/pad,2022-10-01,"check, validate"
well 16,route 1,comp,well/pad,2022-10-01,"check, validate"
well 17,route 1,esp,well/pad,2022-10-01,"check, validate"
well 18,route 1,esp,well/pad,2022-10-01,"check, validate"
well 2,route 1,rod-lift,well/pad,2022-10-01,"check, validate"
well 23,route 1,comp,well/pad,2022-10-01,"check, validate"
well 27,route 1,comp,well/pad,2022-10-01,"check, validate"
well 28,route 1,gas-lift,well/pad,2022-10-01,"check, validate"
well 29,route 1,rod-lift,well/pad,2022-10-01,"check, validate"
well 3,route 1,esp,well/pad,2022-10-01,"check, validate"
well 31,route 1,esp,well/pad,2022-10-01,"check, validate"
well 32,route 1,rod-lift,well/pad,2022-10-01,"check, validate"
well 34,route 1,gas-lift,well/pad,2022-10-01,"check, validate"
well 35,route 1,esp,well/pad,2022-10-01,"check, validate"
well 36,route 1,rod-lift,well/pad,2022-10-01,"check, validate"
well 37,route 1,comp,well/pad,2022-10-01,"check, validate"
well 38,route 1,esp,well/pad,2022-10-01,"check, validate"
well 4,route 1,rod-lift,well/pad,2022-10-01,"check, validate"
well 40,route 1,rod-lift,well/pad,2022-10-01,"check, validate"
well 44,route 1,comp,well/pad,2022-10-01,"check, validate"
well 45,route 1,plunger,well/pad,2022-10-01,"check, validate"
well 46,route 1,comp,well/pad,2022-10-01,"check, validate"
well 48,route 1,gas-lift,well/pad,2022-10-01,"check, validate"
well 5,route 1,esp,well/pad,2022-10-01,"check, validate"
well 7,route 1,esp,well/pad,2022-10-01,"check, validate"
well 9,route 1,plunger,well/pad,2022-10-01,"check, validate"
asset 2,route 1,,ip_mp_fm,2022-10-02,check
asset 3,route 1,,ip_pad,2022-10-02,check
asset 4,route 1,,tank_battery,2022-10-02,check
asset 5,route 1,,tank_battery,2022-10-02,check
asset 9,route 1,,tank_battery,2022-10-02,check
asset 2,route 1,,ip_mp_fm,2022-10-03,check
asset 3,route 1,,ip_pad,2022-10-03,check
asset 4,route 1,,tank_battery,2022-10-03,check
asset 5,route 1,,tank_battery,2022-10-03,check
asset 9,route 1,,tank_battery,2022-10-03,check
asset 2,route 1,,ip_mp_fm,2022-10-04,check
asset 3,route 1,,ip_pad,2022-10-04,check
asset 4,route 1,,tank_battery,2022-10-04,check
asset 5,route 1,,tank_battery,2022-10-04,check
asset 9,route 1,,tank_battery,2022-10-04,check
well 0,route 1,comp,well/pad,2022-10-04,check
well 16,route 1,comp,well/pad,2022-10-04,check
well 2,route 1,rod-lift,well/pad,2022-10-04,"check, validate"
well 23,route 1,comp,well/pad,2022-10-04,check
well 27,route 1,comp,well/pad,2022-10-04,check
well 29,route 1,rod-lift,well/pad,2022-10-04,"check, validate"
well 32,route 1,rod-lift,well/pad,2022-10-04,"check, validate"
well 36,route 1,rod-lift,well/pad,2022-10-04,"check, validate"
well 37,route 1,comp,well/pad,2022-10-04,check
well 4,route 1,rod-lift,well/pad,2022-10-04,"check, validate"
well 40,route 1,rod-lift,well/pad,2022-10-04,"check, validate"
well 44,route 1,comp,well/pad,2022-10-04,check
well 46,route 1,comp,well/pad,2022-10-04,check
asset 2,route 1,,ip_mp_fm,2022-10-05,check
asset 3,route 1,,ip_pad,2022-10-05,check
